00:11:39.9,00:11:41.5
00:11:45.2,00:11:49.1
00:12:07.0,00:12:08.1
00:12:08.6,00:12:09.2
00:12:09.7,00:12:10.2
00:12:10.9,00:12:11.4
00:12:11.9,00:12:12.5
00:12:13.0,00:12:13.8
00:12:14.8,00:12:14.8
00:12:16.7,00:12:17.1
00:12:17.9,00:12:18.0
00:12:19.4,00:12:20.1
00:12:20.8,00:12:21.4
00:12:22.2,00:12:22.9
00:12:23.5,00:12:23.8
00:12:32.0,00:12:32.8
00:12:35.0,00:12:35.0
00:13:15.1,00:07:56.4
00:08:00.6,00:15:09.2
00:15:11.4,00:15:12.3
00:15:14.6,00:15:15.8
00:15:17.5,00:15:32.0
00:15:44.2,00:15:56.2
00:15:57.5,00:16:08.7
00:16:09.8,00:16:21.4
00:16:23.2,00:16:24.1
